id	subject	day	starttime	length	teacher	group	room	period	experiod	inweek	exweek	exclass	realweeks	equipment
3292338	Rast	Wed	1225	30	KaMa							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292401	Rast	Wed	1230	30	CaSk							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292157	Rast	Wed	1235	30	OlGo							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292750	NO	Wed	1235	50	LSt	6A	D42				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3291950	EN	Wed	1240	60	ErWi	4A	D45				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3292187	EN	Wed	1240	50	MatWik	6B	D43			34-43, 45-51, 3-8, 10-12, 14-19, 21-23		0	34-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3292217	SO	Wed	1240	45	PhGh	5B	D41			34-43, 45-51, 3-8, 10-12, 14-19, 21-23		0	34-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3292220	MA	Wed	1240	45	TrPl	5A	D40			34-43, 45-51, 3-8, 10-12, 14-19, 21-23		0	34-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3291934	Mentor Time	Wed	1245	25	MaBe,JoGe	8B	A15				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3292466	Rast	Wed	1245	30	BjJo							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292648	Rast	Wed	1255	30	RyHa							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3291736	BL	Wed	1300	120	GiPr	8A:2	Art	Vt				0	2-8, 11-12, 14-23	
3291737	HKK	Wed	1300	120	MaEn	8A:1	Home Economics	Vt				0	2-8, 11-12, 14-23	
3292211	HKK	Wed	1300	120	MaEn	8A:2	Home Economics	Ht			33	0	34-43, 45-51	
3292566	BL	Wed	1300	120	GiPr	8A:1	Art	Ht			33	0	34-43, 45-51	
3291648	NO	Wed	1305	60	ChPl	7A	A12				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3291805	Changing Time	Wed	1305	5	OlGo	7B	Changing Room				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3292155	EN	Wed	1305	55	MeAb	8C	C38				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3291944	IDH	Wed	1310	50	OlGo	7B	Gym Hall	Jv				0	34, 36, 38, 40, 42, 46, 50, 2, 4, 6, 8, 12, 14, 16, 18, 20, 22	
3292546	HoD Time	Wed	1310	60	JoEn							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292668	HoY Time	Wed	1310	60	EmLa							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292742	IDH	Wed	1310	50	OlGo	7B	B24,Outside			35, 37, 39, 41, 43, 45, 47, 49, 51, 3, 5, 7, 11, 15, 17, 19, 21, 23	33	0	35, 37, 39, 41, 43, 45, 47, 49, 51, 3, 5, 7, 11, 15, 17, 19, 21, 23	
